lemma,count
гьабизе,7563
буго,5366
гьаб,4463
букӏине,3777
чи,3758
бугеб,3664
тӏад,3206
бахъизе,2543
жо,2489
ине,2377
гьечӏеб,2226
лъугьине,2176
чӏезе,2156
дун,2151
ккезе,2110
дов,1984
босизе,1831
цо,1830
бакӏ,1721
кьезе,1716
ракӏ,1687
базе,1679
бачӏине,1578
кквезе,1486
ва,1447
чӏвазе,1393
лъезе,1320
нахъа,1274
цӏакъ,1254
гьаракь,1244
иш,1243
нух,1234
хӏалтӏизе,1180
гьеб,1170
щвезе,1079
данде,1068
бихьизе,1057
тезе,1023
бачине,1022
кӏудияб,1016
къотӏизе,1005
лъазе,993
рагӏизе,977
цебе,973
мун,962
гӏадан,959
жибго,943
гӏемер,939
щибниги,938
рехизе,911
хъвазе,894
кинабго,887
лъим,869
рекъезе,857
квер,846
квине,843
гьев,841
гьоркьоб,839
заман,836
гьечӏо,831
гӏадин,819
бер,812
битӏизе,808
ракь,798
хӏал,784
бахине,783
аб,781
жаниб,780
гьаризе,773
балагьизе,771
хӏалтӏи,746
гӏарац,742
гьечӏого,733
хвезе,731
хутӏизе,726
рекӏине,722
лъикӏаб,713
пикру,713
гъоркь,709
мацӏ,703
бетӏер,697
рукъ,690
бокьизе,680
рахъ,666
бицине,645
гьечӏолъи,634
къватӏиб,633
цӏунизе,626
гӏодоб,622
унтизе,619
тӏамизе,617
гъорлъ,614
бахъине,613
ниж,607
гӏумру,604
мехалъ,603
рукӏун,596
лъикӏ,592
бегьизе,588
бихьизабизе,588
куц,584
тӏезе,584
бутӏа,581
батизе,580
яги,565
хадуб,563
гьел,560
цӏикӏкӏине,560
цоги,558
хвезабизе,551
асар,550
чу,544
ана,541
къо,538
кьо,535
гуреб,533
гьав,528
бакӏалда,527
хабар,521
биччазе,520
абизе,519
гъезе,519
къазе,519
ахӏизе,511
цадахъ,511
щиб,510
кӏиго,508
тӏехь,508
гьаби,503
цӏар,499
хех,496
цӏа,494
сурат,493
лъазабизе,489
кӏалъазе,487
гьитӏинаб,484
вас,483
кагъат,480
кьабизе,477
къайи,476
лъимер,475
сон,474
хисизе,474
рагӏи,462
халкъ,462
бичӏчӏизе,461
кьуризе,446
бичизе,440
кьер,440
рагъ,430
хӏалтӏизабизе,428
хьвадизе,427
цӏияб,419
гӏуцӏизе,416
машина,416
кӏвезе,415
къадар,412
кӏанцӏизе,412
кутакалда,408
лъимал,404
цӏализе,403
биччизе,399
хӏисаб,397
пайда,392
дагьаб,389
гӏемераб,387
тӏубазе,387
лъугӏизе,386
цӏазе,385
шагьар,385
чӏезабизе,381
гӏадаб,377
росу,375
кӏвар,370
рас,366
мина,363
рахъал,362
бищун,361
тӏубанго,361
хъулухъ,357
бал,355
кӏал,355
гьури,353
ретӏел,352
би,351
жив,351
баккизе,349
тӏагӏине,349
бекизе,348
тайпа,348
гьумер,346
цӏидасан,346
батӏа,345
замана,344
берцинаб,341
магӏна,341
бижизе,340
сундул,337
гьеб и гьей,335
хер,335
хӏинкъизе,335
кинаб,329
лъалеб,328
цояб,325
гъветӏ,324
гӏакълу,324
живго,323
биххизе,321
борчӏизе,321
байбихьизе,320
речӏчӏизе,318
бухӏизе,317
гӏелму,317
гӏор,316
хасаб,316
квешаб,315
бикьизе,314
нилъ,314
унти,314
гьан,313
лъай,313
ретӏине,313
бухьине,309
квар,308
яс,307
канлъи,305
кумек,305
тушман,304
махх,303
цӏул,303
букъизе,299
буссине,299
кечӏ,297
баччизе,295
рес,295
лъуризе,294
гама,293
мурад,293
бакӏаризе,292
махӏ,292
алат,289
гьаниб,289
гъов,286
дур,286
рагьизе,286
хӏазе,286
чияр,286
цӏад,284
квен,283
нуж,283
чвахизе,283
бахъинабизе,282
цӏер,282
гьекъезе,280
рокъоб,278
сверун,277
баян,276
доб,276
тӏуризе,276
хал,276
лъугӏизабизе,272
жаваб,271
ралъад,271
релълъине,270
бахчизе,267
хурхине,265
гьал,264
захӏматаб,264
бажаризе,263
гӏадамал,263
лъилниги,263
бетӏизе,262
щвезабизе,261
эбел,261
гӏомо,260
къагӏида,260
данделъизе,259
кутакаб,259
къвакӏизе,259
амма,258
сверизе,257
сордо,257
гӏака,256
рикӏкӏине,255
къваригӏине,254
рохь,254
аскӏоб,253
ххам,252
хӏехьезе,251
черх,251
батӏалъизе,250
чуризе,249
лъоле,247
щивниги,247
къокъаб,246
мухъ,245
пачалихъ,244
батӏияб,243
гурде,243
ургъизе,243
къуват,242
хӏакъалъулъ,242
гамачӏ,240
гъуризе,240
хур,240
эмен,239
бегизе,238
низам,238
цӏезе,236
гӏоло,235
улка,235
къимат,234
божизе,233
гӏазу,231
гӏуру,231
бакъ,229
магӏишат,229
нах,229
рахь,229
рухӏ,228
тӏегь,228
ццин,228
аскар,227
гьанже,227
малъ,226
гуро,225
кваназе,225
нуцӏа,225
гӏайиб,224
чед,224
тара,222
тункизе,222
хӏалтӏухъан,222
цого,222
бацӏцӏад,221
лъабго,221
кьвагьизе,220
кьучӏ,220
ургъел,219
хӏасил,219
бортизе,218
калам,218
гъира,217
харж,217
рокьи,215
хъал,215
хӏалица,215
цӏорозе,215
багьа,213
кьей,213
рахъу,212
ччугӏа,212
боржине,211
гьава,211
кигӏан,211
бацизе,210
гӏадада,209
дару,208
месед,208
гӏуж,206
бакъвазе,205
гьунар,205
гӏин,205
рикӏкӏад,205
тӏолго,205
кӏобокӏизе,204
хӏукму,204
цӏура,203
вац,202
рагъулаб,202
моцӏ,201
аслияб,200
хӏинкъи,200
багъаризе,199
суал,198
роцен,197
буголъизе,196
хӏухьел,196
эхеде,196
я,196
тӏоцебесеб,195
бухьен,194
кӏодо,194
рачӏ,194
тӏобитӏизе,194
бергьине,193
борцине,193
гьудул,193
тӏадегӏанаб,193
бицун,191
тӏалаб,191
хъахӏаб,191
цоцалъ,191
аллагь,190
борхизе,190
чӏобого,190
унтарав,188
бекьизе,187
бухизе,187
дин,187
квас,187
рекъезабизе,187
багӏараб,186
квеш,186
кьижизе,186
мегӏер,186
мухь,186
магӏу,185
хьихьизе,185
хехаб,184
бацӏцӏине,183
гор,183
гьедин,183
план,183
боцӏи,182
ток,182
хӏадур,182
завод,181
цолъизе,181
дуниял,180
гьаву,179
кун,179
накӏкӏ,179
хасият,179
цӏумур,179
чӏужу,179
белъине,178
гӏисинаб,178
халатаб,178
къокъа,177
кӏутӏизе,177
бакизе,176
гурони,176
гӏеч,176
кесек,176
хӏетӏе,174
рахӏат,173
форма,173
щула,173
бацӏцӏадаб,172
гаргадизе,172
гьобол,172
жакъа,172
къварилъизе,172
рачел,172
бищизе,171
ихтияр,171
дол,170
рорине,170
чӏегӏераб,170
бакӏаб,169
гӏенеккизе,169
лъие,169
хӏурмат,169
закон,168
ругъун,168
суд,168
къед,167
сапар,166
цӏодор,166
бадиб,165
балагь,165
дой,165
свери,165
даража,164
къватӏ,164
кидаго,163
стол,163
кодоб,162
мугъ,162
хӏалалда,162
цӏезабизе,162
хьит,161
цебеккунго,161
абурай,160
бухъизе,160
гӏахьаллъизе,160
туманкӏ,160
рахас,159
чӏана,159
бигьа,158
гӏи,158
каратӏ,158
лъугьинабизе,158
цин,158
гъалатӏ,157
цебесеб,157
рак,156
хьул,156
щуго,156
гӏадат,155
разилъизе,155
так,155
хъарщи,155
цинги,155
буссинабизе,154
къачӏазе,154
металл,154
гьалмагъ,152
свине,152
хирияб,152
къосине,151
махсара,151
цер,151
дагьлъизе,150
кӏочене,150
хвей,150
школа,150
ярагъ,150
билълъине,149
гуризе,149
халат,149
гьой,148
сахлъизе,148
бацӏ,147
захӏмат,147
къазабизе,147
кӏалдиб,147
махщел,147
тӏубазабизе,147
жубазе,146
къабул,146
чирахъ,146
бежизе,145
чанго,145
щив,145
балъго,144
кӏкӏуй,144
пихъ,144
тӏагъур,144
гьереси,143
къализе,143
поезд,143
устар,143
ракьа,142
тӏох,142
чӏор,142
гьоркьо,141
къвал,141
адаб,140
бигъине,140
лъугьа-бахъин,140
тӏибитӏизе,140
херав,140
цӏалдохъан,140
букӏаниги,139
тӏеренаб,139
газ,138
гордо,138
дарс,138
щай,138
биххизабизе,137
жеги,137
нус,137
тӏинчӏ,137
цохӏо,137
шартӏ,137
бусен,136
жем,136
кеп,136
налъи,136
сверизабизе,136
бо,135
ругьунлъизе,135
щибго,135
гьединаб,134
документ,134
дунял,134
кьурдизе,134
авлахъ,133
багӏаризе,133
берцин,133
загьир,133
партия,133
вачӏа,132
гӏаламат,132
хӏалбихьизе,132
хӏинчӏ,132
хӏур,132
чан,132
щибаб,132
битӏизабизе,131
гьорозе,131
къагӏидаялъ,131
бащдаб,130
доб и дой,130
раса,130
ролъ,130
талихӏ,130
хисизабизе,130
гӏелмияб,129
тукен,129
хайир,129
гулла,128
гӏодизе,128
хьухьине,128
хӏайван,128
бох,127
габур,127
гӏаммаб,127
къулизе,127
барщизе,126
гӏилла,126
хьвагӏизе,126
хьон,126
анцӏго,125
гӏезабизе,124
камизе,124
лъар,124
релъен,124
тӏил,124
хъизан,124
гьоко,123
инсан,123
квачазе,123
рекӏинабизе,123
рохел,123
руччаби,123
тӏолабго,123
чай,123
дагӏба,122
кӏодолъизе,122
рещтӏине,122
росулъ,122
чӏей,122
а,121
ахир,121
ахӏдезе,121
газет,121
кьваризе,121
тӏагӏел,121
хурдул,121
цоцазда,121
абулеб,120
гӏалах,120
наку,120
хвел,120
цӏех-рех,120
биине,119
гӏебеде,119
къине,119
печь,119
хъвай-хъвагӏай,119
хӏалуцине,119
бакьулъ,118
предложение,118
хӏатӏ,118
чурпа,118
ах,117
багъаризабизе,117
бецӏизе,117
гӏанкӏу,117
гӏарада,117
къеркьезе,117
балъгояб,116
гӏагарлъизе,116
зоб,116
класс,116
кьибил,116
тӏири,116
чехь,116
гохӏ,115
гьетӏизе,115
гӏакъуба,115
ишара,115
кин,115
лъикӏлъизе,115
хасиятаб,115
чакма,115
бижизабизе,114
борлъизе,114
дализе,114
ричӏизе,114
ругьун,114
гъоба,113
квач,113
керен,113
къоялъ,113
тӏадагьаб,113
тӏамах,113
хоно,113
дандчӏвазе,112
даран,112
загӏипаб,112
захӏмалъизе,112
кӏибикӏизе,112
рагьазе,112
тӏом,112
хъамизе,112
бикӏизе,111
бихъизе,111
ватӏан,111
дагь,111
лъагӏел,111
лълъар,111
гьине,110
кунчӏизе,110
масъала,110
рищи,110
рукӏел,110
хӏама,110
вазе,109
гӏатӏидаб,109
мерхьине,109
нахъгӏунтӏизе,109
тӏабигӏат,109
хъат,109
чучизе,109
чӏаголъизе,109
гӏажаибаб,108
къасд,108
къотӏи,108
кӏиябго,108
макьу,108
рахъ-рахъалда,108
санаъ,108
театр,108
хӏадурлъизе,108
чӏоло,108
ахиралда,107
бакъан,107
гурхӏел,107
кини,107
лъел,107
мотор,107
ригьин,107
седезе,107
тӏимугъ,107
хӏалтӏул,107
хӏор,107
чакар,107
араб,106
гьоркьоблъи,106
доба,106
идара,106
бекӏеда,105
бербалагьи,105
бечелъизе,105
гуч,105
гӏаркьел,105
лъутизе,105
оц,105
рикӏкӏен,105
тӏокӏаб,105
ца,105
чӏужугӏадан,105
бертин,104
бетӏергьан,104
гъваридаб,104
намус,104
тӏину,104
хӏужжа,104
чӏухӏараб,104
гъат,103
гӏунгутӏи,103
жигар,103
килищ,103
лъей,103
мех,103
хъахӏлъизе,103
цӏцӏе,103
чаран,103
щулалъизе,103
бекеризе,102
вагъизе,102
гъурущ,102
гӏезе,102
лага,102
падеж,102
пара,102
халкъияб,102
хинлъизе,102
гуккизе,101
кватӏизе,101
семизе,101
тиризе,101
хъалиян,101
хӏучч,101
басма,100
басралъизе,100
гьайбатаб,100
ханжу,100
хӏаракат,100
цогидаб,100
бакъвазабизе,99
гӏазаб,99
инкар,99
музыка,99
нечезе,99
рагӏал,99
ункъо,99
хӏарп,99
ялъуни,99
анкь,98
гочине,98
гӏедегӏизе,98
лъади,98
мисал,98
нахъбуссине,98
некӏсияб,98
предлог,98
сваказе,98
хьибил,98
хӏуби,98
батӏи-батӏияб,97
бергьенлъи,97
гьа,97
гӏемерлъизе,97
манзил,97
гӏадлу,96
гӏамал-хасият,96
кутак,96
тӏадаб,96
тӏасияб,96
тӏорщел,96
хъуризе,96
ццидахине,96
букӏин,95
кибениги,95
къадру,95
кьуру,95
радал,95
рикьи,95
тамихӏ,95
хъачӏаб,95
хӏулизе,95
электрик,95
гьукъизе,94
гӏанкӏ,94
гӏебаб,94
зарал,94
къунцӏизе,94
промышленность,94
цоял,94
чӏухӏизе,94
бехъерхъизе,93
бецизе,93
битӏухъе,93
бичӏизе,93
гьениб,93
жал,93
изну,93
как,93
кверщел,93
магӏарда,93
мехтизе,93
рагӏаби,93
радио,93
рос,93
тӏагӏинабизе,93
хъурщизе,93
божилъи,92
гъуй,92
гьоркьохъеб,92
зар,92
квалквал,92
къокъ,92
лазат,92
система,92
хехлъизе,92
хъала,92
хӏалалъ,92
цӏва,92
чагъир,92
багӏарлъизе,91
борохь,91
гиризе,91
культура,91
тӏадеги,91
хасел,91
хъуй,91
цӏодорлъизе,91
берцинлъизе,90
бухӏизабизе,90
гӏагараб,90
гӏадатияб,90
гӏунтӏизе,90
дагьабги,90
пан,90
рагъухъан,90
член,90
щаклъизе,90
ав,89
бегӏераб,89
бессизе,89
загӏиплъизе,89
ихтияраб,89
ракъи,89
цоцазе,89
эркен,89
бицатаб,88
борхатаб,88
горо,88
гӏорхъи,88
кино,88
михъ,88
нусго,88
тамахаб,88
тату,88
текст,88
тӏанкӏ,88
щулияб,88
балагьун,87
гьурмал,87
гӏетӏ,87
гӏолохъанаб,87
картошка,87
киб,87
кибниги,87
къватӏисеб,87
мадугьал,87
мекъса,87
пача,87
тартиб,87
тӏажу,87
тӏерхьине,87
хӏукумат,87
элемент,87
бечедаб,86
магӏдан,86
самизе,86
тӏор,86
хазе,86
чахъу,86
бетӏербахъизе,85
гьуинаб,85
къваридаб,85
къец,85
лъелъ,85
рекъел,85
рихине,85
сахлъи,85
торгӏо,85
тӏаделъизе,85
цӏоко,85
бахӏарчилъи,84
баянлъизе,84
гӏицӏго,84
журай,84
загьирлъизе,84
къадараб,84
лъамалъизе,84
нахъчӏвазе,84
нич,84
хӏакъикъат,84
хӏунсизе,84
анцӏила,83
бецӏлъизе,83
бече,83
вагон,83
гургинаб,83
гӏурус,83
инжит,83
каву,83
рахазе,83
туризе,83
тӏамач,83
тӏуб,83
хъаравул,83
хъублъизе,83
хӏеренаб,83
цодагьаб,83
цӏайи,83
цӏикӏкӏинабизе,83
ярагьине,83
гӏел,82
полк,82
тарих,82
тӏагӏам,82
халалъизе,82
хан,82
аппарат,81
бахъи,81
бикъизе,81
гьава-бакъ,81
жанисеб,81
лъалкӏ,81
мекъи,81
мугь,81
рахъалдасан,81
руккел,81
шиша,81
армия,80
борхалъизе,80
гӏадлу-низам,80
квешлъизе,80
къаркъала,80
машгьураб,80
нерв,80
тӏатӏала,80
хӏажатаб,80
хӏарщ,80
цӏоросоролъ,80
чӏва,80
шавкъ,80
яхӏ,80
яц,80
автомобиль,79
бакӏлъизе,79
бокьулеб,79
гӏабдал,79
гӏатӏ,79
мегеж,79
рихь,79
рохьоб,79
сабру,79
сангар,79
сородизе,79
хвалчен,79
анлъго,78
багъизе,78
болъон,78
гӏисин,78
къоно,78
мухӏкан,78
политика,78
тӏалаб-агъаз,78
хӏажалъизе,78
хӏакъикъияб,78
байрахъ,77
бащалъизе,77
вехь,77
гвангъизе,77
гӏадатаб,77
кара,77
кету,77
нур,77
сипат,77
ххезе,77
бокӏон,76
гъоб,76
кӏветӏ,76
машгъуллъизе,76
орган,76
чӏикӏизе,76
азбар,75
белъизе,75
бигьаяб,75
бихьинчи,75
гьикъизе,75
къвачӏа,75
пальто,75
ратӏа,75
станция,75
тира-сверизе,75
хъубаб,75
хьаг,75
цебетӏезе,75
цӏам,75
букӏинабизе,74
гурхӏизе,74
гъварилъизе,74
карачел,74
квасквас,74
рази,74
тарбия,74
цадахъго,74
цӏузе,74
эркенлъизе,74
гьудуллъизе,73
гӏорцӏизе,73
жугьутӏав,73
кенчӏезе,73
кӏичӏ,73
лъай-хъвай,73
лъикӏго,73
лъухьизе,73
мах,73
пардав,73
политикияб,73
пул,73
сонал,73
хъвезе,73
хӏай,73
цебеса,73
цӏи,73
чороклъизе,73
анищ,72
багъа-бачаризе,72
багьана,72
басрияб,72
бахӏарчи,72
гьай,72
гӏантаб,72
даим,72
мугӏрул,72
нухӏ,72
рател,72
ригь,72
телефон,72
туркӏизе,72
тӏабигӏияб,72
борчине,71
буцизе,71
гвенд,71
гьужум,71
журнал,71
къинлъизе,71
магӏ,71
мекъаб,71
пашманлъизе,71
полоп,71
рехъен,71
сасине,71
харизе,71
бичӏчӏизабизе,70
болжал,70
боси,70
гӏоркь,70
колхоз,70
къварид,70
кӏиабилеб,70
лъилъизе,70
макъар,70
нахъегӏанаб,70
нухмалъи,70
предмет,70
тӏибитӏизабизе,70
хохозе,70
цощинаб,70
цӏал,70
частица,70
чӏобогояб,70
юк,70
бачӏинабизе,69
буюрухъ,69
гьве,69
гьор,69
гӏатӏилъизе,69
интерес,69
кӏулал,69
материал,69
номер,69
риххел,69
рихьи,69
туснахъ,69
ургъи,69
хоб,69
чӏаго,69
баркала,68
беццизе,68
бечӏазе,68
билизе,68
катан,68
къандалъо,68
поч,68
пунхъизе,68
самолёт,68
тадбир,68
тӏогь,68
хъаравуллъи,68
байрам,67
бецӏаб,67
вакил,67
гӏаракъи,67
гӏус,67
лажбар,67
минут,67
общество,67
пашманаб,67
рахӏму,67
рилълъин,67
сорт,67
тӏатине,67
тӏей,67
тӏоцебе,67
ургъунго,67
херлъизе,67
ци,67
багӏаризабизе,66
бацӏине,66
билет,66
гьалаглъизе,66
гьелда,66
къарз,66
литературияб,66
маргъал,66
таваккал,66
тӏокӏлъизе,66
хутӏи,66
хӏадуризе,66
щвей,66
бащадаб,65
бетӏерлъи,65
битӏун,65
гализе,65
гьобо,65
гӏер,65
ицц,65
комиссия,65
къай,65
къайи-къоно,65
нахъехун,65
предприятие,65
район,65
руссун,65
тох,65
тӏезабизе,65
хиял,65
цолъизабизе,65
цӏулакьо,65
чара,65
чарх,65
чӏар,65
бухӏун,64
гӏатӏид,64
дандечӏезе,64
дурус,64
их,64
костюм,64
къиматаб,64
майдан,64
мунагь,64
пер,64
производство,64
рокьукъаб,64
рухьен,64
техника,64
тӏогьиб,64
тӏурччи,64
цебего,64
чорок,64
ччукӏизе,64
артист,63
базар,63
даимаб,63
искусство,63
киса,63
кӏичӏизе,63
пьеса,63
регъезе,63
хӏаким,63
цӏарагӏ,63
чӏагояб,63
экзамен,63
эркенаб,63
аби,62
бацӏцӏалъизе,62
бихьичӏого,62
гьалдезе,62
гӏолохъаби,62
инс,62
къалам,62
север,62
тамашалъизе,62
тӏутӏузе,62
хӏан,62
хӏанчӏизе,62
чӏахӏияб,62
бай,61
бихьи,61
гьализе,61
гьоркьосеб,61
дагьа-макъаб,61
дагьлъизабизе,61
ирс,61
къецал,61
къисмат,61
кӏкӏвазе,61
механизм,61
регьел,61
релъи,61
сабаблъун,61
тамашаяб,61
тӏикъва,61
хинаб,61
хъвадарухъан,61
хьвагӏезе,61
цебехун,61
цо-цо,61
цӏай,61
цӏалул,61
цӏибил,61
яшав,61
барахщине,60
бахчизабизе,60
гьакал,60
гьетӏизабизе,60
гьоцӏо,60
гӏеретӏ,60
квегӏаб,60
килщал,60
къаси,60
лъугӏи,60
мед,60
микьго,60
музыкалияб,60
нахърател,60
некӏо,60
рехсезе,60
тамахьо,60
тӏугьдул,60
хӏайванаб,60
щинаб,60
базабизе,59
баянаб,59
ботӏ,59
гъанкъизе,59
гӏурччинаб,59
ишан,59
мукъсанлъизе,59
мутӏигӏлъизе,59
нахъ,59
пайдаяб,59
рагъи,59
рачӏа,59
рецӏел,59
сияхӏ,59
чванта,59
щвазе,59
аслу,58
ахирисеб,58
бетӏераб,58
гӏучӏ,58
жанавар,58
кирпич,58
кьаву,58
кьолозе,58
лебалаб,58
мицӏир,58
мукӏурлъизе,58
тӏахьал,58
у,58
фабрика,58
хасало,58
химия,58
ххвел,58
хъвадаризе,58
хъумур,58
хьвада-чӏвадизе,58
центр,58
цӏали,58
чӏехьезе,58
чӏимих,58
эбелаб,58
ахӏвал-хӏал,57
бакъуца,57
бащад,57
бетизе,57
гьадин,57
гӏамал,57
гӏункӏкӏ,57
килиса,57
кирит,57
къагӏидаялда,57
къотӏноб,57
лъедезе,57
рижу,57
спирт,57
